year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
2001 01  0.079,267.11, 65.29, 15.79, 40.54
2001 02  0.090,265.40, 75.76, 20.80, 48.28
2001 03  0.084,264.23, 73.65, 25.80, 49.73
2001 04  0.081,264.38, 70.70, 27.31, 49.01
2001 05  0.079,264.89, 65.66, 29.12, 47.39
2001 06  0.084,266.05, 64.09, 30.85, 47.47
2001 07  0.089,267.57, 61.06, 31.50, 46.28
2001 08  0.098,270.30, 60.77, 28.62, 44.70
2001 09  0.112,273.15, 63.32, 26.66, 44.99
2001 10  0.134,276.50, 68.32, 23.84, 46.08
2001 11  0.162,279.60, 76.07, 18.75, 47.41
2001 12  0.184,282.27, 78.74, 19.04, 48.89
2001 13  0.205,284.81, 81.24, 19.02, 50.13
2001 14  0.229,286.67, 81.73, 19.97, 50.85
2001 15  0.250,287.96, 77.96, 26.57, 52.27
2001 16  0.279,289.63, 75.59, 33.47, 54.53
2001 17  0.317,291.21, 76.81, 40.59, 58.70
2001 18  0.360,291.87, 80.82, 54.72, 67.77
2001 19  0.402,292.26, 84.04, 68.68, 76.36
2001 20  0.430,292.63, 85.06, 75.46, 80.26
2001 21  0.447,292.64, 82.29, 81.57, 81.93
2001 22  0.456,292.38, 77.48, 86.70, 82.09
2001 23  0.459,292.35, 72.61, 88.68, 80.65
2001 24  0.464,292.91, 71.80, 86.46, 79.13
2001 25  0.466,293.69, 71.22, 82.26, 76.74
2001 26  0.466,294.72, 70.71, 73.81, 72.26
2001 27  0.465,296.12, 71.05, 61.79, 66.42
2001 28  0.456,297.12, 69.89, 53.30, 61.60
2001 29  0.447,297.74, 68.34, 48.78, 58.56
2001 30  0.434,298.20, 66.12, 45.95, 56.03
2001 31  0.419,298.35, 62.03, 44.17, 53.10
2001 32  0.397,297.87, 55.91, 46.10, 51.01
2001 33  0.375,297.20, 50.16, 46.86, 48.51
2001 34  0.353,296.45, 45.32, 46.16, 45.74
2001 35  0.329,295.15, 42.26, 48.38, 45.32
2001 36  0.311,293.82, 43.69, 47.95, 45.82
2001 37  0.294,292.29, 46.29, 48.92, 47.61
2001 38  0.278,291.13, 48.35, 44.09, 46.22
2001 39  0.266,290.05, 52.03, 35.17, 43.60
2001 40  0.250,287.74, 53.83, 39.08, 46.46
2001 41  0.232,284.82, 57.38, 45.81, 51.60
2001 42  0.215,282.34, 61.76, 44.57, 53.16
2001 43  0.192,279.29, 63.18, 50.09, 56.64
2001 44  0.166,275.50, 61.05, 52.78, 56.91
2001 45  0.134,270.98, 52.92, 59.05, 55.99
2001 46  0.106,266.94, 45.33, 63.78, 54.56
2001 47  0.087,263.83, 41.68, 66.58, 54.13
2001 48  0.070,260.15, 35.57, 74.58, 55.07
2001 49  0.060,257.13, 31.67, 78.49, 55.08
2001 50  0.052,255.36, 29.17, 76.41, 52.79
2001 51  0.048,254.77, 30.78, 69.97, 50.38
2001 52  0.049,254.61, 34.77, 64.04, 49.41
2002 01  0.046,253.92, 34.64, 61.95, 48.30
2002 02  0.045,254.85, 34.80, 58.32, 46.56
2002 03  0.052,258.42, 42.09, 46.38, 44.23
2002 04  0.061,261.71, 51.30, 35.82, 43.56
2002 05  0.072,264.68, 59.19, 28.45, 43.82
2002 06  0.085,267.63, 64.30, 24.14, 44.22
2002 07  0.103,271.41, 70.12, 17.88, 44.00
2002 08  0.120,274.51, 74.92, 13.84, 44.38
