year,week,, provinceID, SMN,SMT,VCI,TCI,VHI
1982 01  0.167,278.57, 42.80, 57.19, 49.99
1982 02  0.182,279.63, 54.59, 40.55, 47.57
1982 03  0.194,280.49, 61.23, 35.52, 48.37
1982 04  0.204,281.09, 66.47, 35.55, 51.01
1982 05  0.216,282.12, 71.69, 31.71, 51.70
1982 06  0.220,283.21, 72.96, 28.69, 50.83
1982 07  0.222,284.39, 71.84, 25.80, 48.82
1982 08  0.220,284.95, 68.20, 27.43, 47.82
1982 09  0.218,285.50, 64.82, 30.19, 47.50
1982 10  0.219,286.36, 62.60, 33.56, 48.08
1982 11  0.226,287.50, 61.26, 38.24, 49.75
1982 12  0.233,288.53, 58.20, 44.06, 51.13
1982 13  0.240,289.36, 56.05, 46.83, 51.44
1982 14  0.243,289.67, 50.81, 50.95, 50.88
1982 15  0.245,289.76, 42.96, 54.62, 48.79
1982 16  0.247,289.39, 30.35, 65.20, 47.77
1982 17  0.252,289.72, 21.38, 69.14, 45.26
1982 18  0.265,291.00, 17.13, 68.38, 42.75
1982 19  0.282,293.01, 15.45, 63.05, 39.25
1982 20  0.301,295.16, 17.34, 49.14, 33.24
1982 21  0.318,296.93, 20.05, 35.57, 27.81
1982 22  0.327,297.71, 19.48, 38.02, 28.75
1982 23  0.337,298.62, 20.82, 38.31, 29.56
1982 24  0.347,299.86, 25.15, 33.28, 29.21
1982 25  0.350,300.74, 25.98, 33.32, 29.65
1982 26  0.349,301.46, 25.98, 34.94, 30.46
1982 27  0.345,301.98, 26.65, 39.39, 33.02
1982 28  0.337,302.35, 25.42, 42.99, 34.20
1982 29  0.327,302.70, 23.41, 45.19, 34.30
1982 30  0.318,302.92, 22.30, 45.64, 33.97
1982 31  0.309,303.10, 22.92, 41.90, 32.41
1982 32  0.304,303.30, 25.81, 37.11, 31.46
1982 33  0.295,303.02, 25.35, 34.22, 29.79
1982 34  0.286,302.53, 24.01, 30.38, 27.20
1982 35  0.281,302.16, 25.10, 24.24, 24.67
1982 36  0.272,301.57, 24.21, 20.14, 22.18
1982 37  0.264,300.68, 24.21, 16.90, 20.56
1982 38  0.253,299.14, 22.43, 19.99, 21.21
1982 39  0.243,297.19, 22.85, 28.31, 25.58
1982 40  0.241,294.84, 28.69, 37.69, 33.19
1982 41  0.241,292.96, 33.75, 41.59, 37.67
1982 42  0.243,291.74, 38.28, 40.32, 39.30
1982 43  0.244,290.85, 43.09, 32.52, 37.80
1982 44  0.239,289.91, 45.88, 22.01, 33.95
1982 45  0.236,289.06, 50.09, 17.81, 33.95
1982 46  0.223,287.60, 49.19, 20.72, 34.95
1982 47  0.206,285.85, 46.70, 25.73, 36.21
1982 48  0.191,284.10, 43.38, 32.64, 38.01
1982 49  0.178,282.80, 39.81, 35.90, 37.85
1982 50  0.173,282.01, 40.87, 28.39, 34.63
1982 51  0.171,281.06, 41.34, 35.36, 38.35
1982 52  0.168,280.60, 40.73, 37.95, 39.34
1983 01  0.170,280.35, 44.03, 38.32, 41.18
1983 02  0.173,280.04, 49.00, 35.56, 42.28
1983 03  0.173,279.96, 49.63, 37.02, 43.33
1983 04  0.173,279.84, 50.45, 40.83, 45.64
1983 05  0.174,279.64, 51.26, 42.74, 47.00
1983 06  0.180,279.77, 53.65, 43.76, 48.70
1983 07  0.190,280.38, 56.56, 43.71, 50.14
1983 08  0.199,281.82, 58.43, 41.12, 49.77
1983 09  0.202,283.05, 57.13, 41.62, 49.37
1983 10  0.207,284.75, 56.24, 42.24, 49.24
1983 11  0.212,286.53, 54.12, 44.71, 49.41
1983 12  0.219,287.94, 50.23, 49.56, 49.90
1983 13  0.231,289.67, 50.41, 46.01, 48.21
1983 14  0.249,291.44, 53.75, 35.50, 44.63
1983 15  0.266,293.04, 55.50, 22.52, 39.01
1983 16  0.286,294.41, 55.55, 14.69, 35.12
1983 17  0.304,295.10, 54.77, 13.55, 34.16
1983 18  0.317,295.53, 50.32, 16.79, 33.56
1983 19  0.328,295.95, 45.35, 24.62, 34.99
1983 20  0.337,296.19, 39.76, 35.33, 37.54
1983 21  0.341,296.59, 34.38, 41.67, 38.03
1983 22  0.343,296.64, 28.34, 55.58, 41.96
1983 23  0.345,296.70, 24.44, 71.03, 47.74
1983 24  0.345,296.74, 22.56, 82.74, 52.65
1983 25  0.345,296.85, 22.08, 89.52, 55.80
1983 26  0.348,297.32, 24.42, 91.26, 57.84
1983 27  0.349,297.92, 28.14, 92.49, 60.32
1983 28  0.347,298.35, 30.67, 94.06, 62.36
1983 29  0.346,298.69, 34.04, 94.55, 64.29
